#--- 	  	 LEM Line data  --- 
#(1) Z              (2) C              (3) T              (4) h           (5) dCdT           (6) dedt            (7) rho          (8) FOUND     (9) Found_dcdt                  (10) Y_O2                  (11) Y_H2O                  (12) Y_CH4                  (13) Y_CO                  (14) Y_CO2                  (15) Y_N2
0           0.959596            300.028            1896.48                  0                  0            1.17187                  1                  0           0.233005        1.25883e-06        2.35999e-08        3.79768e-51         1.5376e-06           0.766992
0           0.969697            300.028            1896.78                  0                  0            1.17186                  1                  0           0.233005        1.27208e-06        1.76999e-08        3.83766e-51        1.55379e-06           0.766992
0           0.979798            300.028            1897.07                  0                  0            1.17186                  1                  0           0.233005        1.28533e-06        1.17999e-08        3.87763e-51        1.56997e-06           0.766992
0           0.989899            300.029            1897.37                  0                  0            1.17186                  1                  0           0.233005        1.29858e-06        5.89997e-09        3.91761e-51        1.58616e-06           0.766992
0                  1            300.029            1897.66                  0                  0            1.17186                  1                  0           0.233005        1.31183e-06        2.0793e-156        3.95758e-51        1.60234e-06           0.766992

0.0012605                  0                300            1871.29                  0                  0            1.17079                  1                  0           0.232713                  0         0.00126502                  0                  0           0.766022
0.0012605           0.010101            300.629            2507.82                  0                  0            1.16834                  1                  0           0.232662        2.86981e-05         0.00125224        2.59734e-41        3.50535e-05           0.766022
0.0012605           0.020202            301.258            3144.41                  0                  0             1.1659                  1                  0           0.232611        5.73962e-05         0.00123946        5.19467e-41        7.01071e-05           0.766022
0.0012605           0.030303            301.888            3781.05                  0                  0            1.16347                  1                  0            0.23256        8.60944e-05         0.00122668        7.79201e-41        0.000105161           0.766022
0.0012605           0.040404            302.517            4417.74                  0                  0            1.16105                  1                  0           0.232509        0.000114792         0.00121391        1.03893e-40        0.000140214           0.766022
0.0012605          0.0505051            303.146            5054.49                  0                  0            1.15864                  1                  0           0.232458        0.000143491         0.00120113        1.29867e-40        0.000175268           0.766022
0.0012605          0.0606061            303.775            5691.28                  0                  0            1.15624                  1                  0           0.232407        0.000172189         0.00118835         1.5584e-40        0.000210321           0.766022
0.0012605          0.0707071            304.404            6328.13                  0                  0            1.15385                  1                  0           0.232356        0.000200887         0.00117557        1.81814e-40        0.000245375           0.766022
0.0012605          0.0808081            305.034            6965.04                  0                  0            1.15147                  1                  0           0.232305        0.000229585         0.00116279        2.07787e-40        0.000280428           0.766022
0.0012605          0.0909091            305.663            7601.99                  0                  0             1.1491                  1                  0           0.232254        0.000258283         0.00115002         2.3376e-40        0.000315482           0.766022
0.0012605            0.10101            306.292            8239.01                  0                  0            1.14674                  1                  0           0.232203        0.000286981         0.00113724        2.59734e-40        0.000350535           0.766022
0.0012605           0.111111            306.921            8876.07                  0                  0            1.14439                  1                  0           0.232152        0.000315679         0.00112446        2.85707e-40        0.000385589           0.766022
0.0012605           0.121212             307.55            9513.19                  0                  0            1.14205                  1                  0           0.232101        0.000344377         0.00111168         3.1168e-40        0.000420642           0.766022
0.0012605           0.131313            308.179            10150.4                  0                  0            1.13972                  1                  0            0.23205        0.000373076          0.0010989        3.37654e-40        0.000455696           0.766022
0.0012605           0.141414            308.809            10787.6                  0                  0             1.1374                  1                  0           0.231999        0.000401774         0.00108613        3.63627e-40         0.00049075           0.766022
0.0012605           0.151515            309.438            11424.9                  0                  0            1.13508                  1                  0           0.231948        0.000430472         0.00107335          3.896e-40        0.000525803           0.766022
0.0012605           0.161616            310.067            12062.2                  0                  0            1.13278                  1                  0           0.231897         0.00045917         0.00106057        4.15574e-40        0.000560857           0.766022
0.0012605           0.171717            310.696            12699.6                  0                  0            1.13049                  1                  0           0.231846        0.000487868         0.00104779        4.41547e-40         0.00059591           0.766022
0.0012605           0.181818            311.325              13337                  0                  0             1.1282                  1                  0           0.231795        0.000516566         0.00103501         4.6752e-40        0.000630964           0.766022
0.0012605           0.191919            311.955            13974.5                  0                  0            1.12593                  1                  0           0.231744        0.000545264         0.00102224        4.93494e-40        0.000666017           0.766022
0.0012605            0.20202            312.584            14612.1                  0                  0            1.12366                  1                  0           0.231693        0.000573962         0.00100946        5.19467e-40        0.000701071           0.766022
0.0012605           0.212121            313.213            15249.7                  0                  0             1.1214                  1                  0           0.231642        0.000602661        0.000996681        5.45441e-40        0.000736124           0.766022
0.0012605           0.222222            313.842            15887.3                  0                  0            1.11915                  1                  0           0.231591        0.000631359        0.000983903        5.71414e-40        0.000771178           0.766022
0.0012605           0.232323            314.471              16525                  0                  0            1.11691                  1                  0            0.23154        0.000660057        0.000971125        5.97387e-40        0.000806231           0.766022
0.0012605           0.242424            315.101            17162.8                  0                  0            1.11468                  1                  0           0.231489        0.000688755        0.000958347        6.23361e-40        0.000841285           0.766022
0.0012605           0.252525             315.73            17800.6                  0                  0            1.11246                  1                  0           0.231438        0.000717453        0.000945569        6.49334e-40        0.000876338           0.766022
0.0012605           0.262626            316.359            18438.5                  0                  0            1.11025                  1                  0           0.231387        0.000746151        0.000932791        6.75307e-40        0.000911392           0.766022
0.0012605           0.272727            316.988            19076.4                  0                  0            1.10805                  1                  0           0.231336        0.000774849        0.000920013        7.01281e-40        0.000946446           0.766022
0.0012605           0.282828            317.617            19714.4                  0                  0            1.10585                  1                  0           0.231285        0.000803547        0.000907235        7.27254e-40        0.000981499           0.766022
0.0012605           0.292929            318.246            20352.4                  0                  0            1.10367                  1                  0           0.231235        0.000832246        0.000894457        7.53227e-40         0.00101655           0.766022
0.0012605            0.30303            318.876            20990.5                  0                  0            1.10149                  1                  0           0.231184        0.000860944        0.000881679        7.79201e-40         0.00105161           0.766022
0.0012605           0.313131            319.505            21628.7                  0                  0            1.09932                  1                  0           0.231133        0.000889642        0.000868901        8.05174e-40         0.00108666           0.766022
0.0012605           0.323232            320.134            22266.9                  0                  0            1.09716                  1                  0           0.231082         0.00091834        0.000856123        8.31148e-40         0.00112171           0.766022
0.0012605           0.333333            320.763            22905.1                  0                  0            1.09501                  1                  0           0.231031        0.000947038        0.000843345        8.57121e-40         0.00115677           0.766022
0.0012605           0.343434            321.392            23543.4                  0                  0            1.09286                  1                  0            0.23098        0.000975736        0.000830567        8.83094e-40         0.00119182           0.766022
0.0012605           0.353535            322.022            24181.8                  0                  0            1.09073                  1                  0           0.230929         0.00100443         0.00081779        9.09068e-40         0.00122687           0.766022
0.0012605           0.363636            322.651            24820.2                  0                  0             1.0886                  1                  0           0.230878         0.00103313        0.000805012        9.35041e-40         0.00126193           0.766022
0.0012605           0.373737             323.28            25458.7                  0                  0            1.08648                  1                  0           0.230827         0.00106183        0.000792234        9.61014e-40         0.00129698           0.766022
0.0012605           0.383838            323.909            26097.2                  0                  0            1.08437                  1                  0           0.230776         0.00109053        0.000779456        9.86988e-40         0.00133203           0.766022
0.0012605           0.393939            324.538            26735.8                  0                  0            1.08227                  1                  0           0.230725         0.00111923        0.000766678        1.01296e-39         0.00136709           0.766022
0.0012605            0.40404            325.168            27374.5                  0                  0            1.08017                  1                  0           0.230674         0.00114792          0.0007539        1.03893e-39         0.00140214           0.766022
0.0012605           0.414141            325.797            28013.2                  0                  0            1.07809                  1                  0           0.230623         0.00117662        0.000741122        1.06491e-39          0.0014372           0.766022
0.0012605           0.424242            326.426            28651.9                  0                  0            1.07601                  1                  0           0.230572         0.00120532        0.000728344        1.09088e-39         0.00147225           0.766022
0.0012605           0.434343            327.055            29290.7                  0                  0            1.07394                  1                  0           0.230521         0.00123402        0.000715566        1.11685e-39          0.0015073           0.766022
0.0012605           0.444444            327.684            29929.6                  0                  0            1.07188                  1                  0            0.23047         0.00126272        0.000702788        1.14283e-39         0.00154236           0.766022
0.0012605           0.454545            328.313            30568.5                  0                  0            1.06982                  1                  0           0.230419         0.00129142         0.00069001         1.1688e-39         0.00157741           0.766022
